Census_Tract,FIPS ,CITYNAME,Service_Area,Male,Female,White,African_American,Native_ American,Asian,Pacific Islander,Other,Multi-Race,Latino,Total_Population,GEOID,Tract,Tract Number,Neighborhood,Location,Latitude,Longitude
106604,44000,Los Angeles city - Granada Hills,2,748,731,114,20,2,53,0,0,7,1283,1479,1400000US06037106604,"Census Tract 1066.04, Los Angeles County, California",106604,Sylmar,"(34.3042795, -118.474247)",34.3042795,-118.47424699999999
106604,44000,Los Angeles city - Sylmar,2,1915,1861,264,38,5,58,2,6,3,3400,3776,1400000US06037106604,"Census Tract 1066.04, Los Angeles County, California",106604,Sylmar,"(34.3042795, -118.474247)",34.3042795,-118.47424699999999
106641,44000,Los Angeles city - Granada Hills,2,1213,1192,1556,59,6,374,1,18,76,315,2405,1400000US06037106641,"Census Tract 1066.41, Los Angeles County, California",106641,Granada Hills,"(34.298025, -118.509153)",34.298025,-118.509153
106642,44000,Los Angeles city - Granada Hills,2,1642,1672,1912,112,3,416,1,4,102,764,3314,1400000US06037106642,"Census Tract 1066.42, Los Angeles County, California",106642,Granada Hills,"(34.2863475, -118.5084525)",34.2863475,-118.50845249999999
106643,44000,Los Angeles city - Granada Hills,2,2215,2287,2784,128,3,843,0,14,127,603,4502,1400000US06037106643,"Census Tract 1066.43, Los Angeles County, California",106643,Granada Hills,"(34.289784, -118.524711)",34.289784000000004,-118.52471100000001
106645,44000,Los Angeles city - Granada Hills,2,1630,1784,2108,124,5,486,0,8,104,579,3414,1400000US06037106645,"Census Tract 1066.45, Los Angeles County, California",106645,Granada Hills,"(34.2905125, -118.4928915)",34.2905125,-118.4928915
106646,44000,Los Angeles city - Granada Hills,2,1635,1710,1326,111,2,580,2,26,81,1217,3345,1400000US06037106646,"Census Tract 1066.46, Los Angeles County, California",106646,Granada Hills,"(34.2790905, -118.4941245)",34.2790905,-118.49412450000001
106648,44000,Los Angeles city - Sylmar,2,2173,2203,213,102,9,53,0,22,28,3949,4376,1400000US06037106648,"Census Tract 1066.48, Los Angeles County, California",106648,Sylmar,"(34.293406, -118.4556035)",34.293406,-118.4556035
106649,44000,Los Angeles city - Sylmar,2,1522,1504,289,113,10,623,0,8,41,1942,3026,1400000US06037106649,"Census Tract 1066.49, Los Angeles County, California",106649,Sylmar,"(34.288747, -118.4611105)",34.288747,-118.4611105
107010,44000,Los Angeles city - Sylmar,2,1768,1746,194,14,3,52,0,0,8,3243,3514,1400000US06037107010,"Census Tract 1070.10, Los Angeles County, California",107010,Sylmar,"(34.302027, -118.446501)",34.302027,-118.446501
107020,44000,Los Angeles city - Sylmar,2,2995,2967,307,57,19,371,1,18,68,5121,5962,1400000US06037107020,"Census Tract 1070.20, Los Angeles County, California",107020,Sylmar,"(34.2975345, -118.4503905)",34.2975345,-118.4503905
108101,44000,Los Angeles city - Porter Ranch,2,1125,1140,1337,74,4,530,1,3,91,225,2265,1400000US06037108101,"Census Tract 1081.01, Los Angeles County, California",108101,Porter Ranch,"(34.280038, -118.5413715)",34.280038,-118.54137150000001
108102,44000,Los Angeles city - Porter Ranch,2,1720,1842,1870,57,0,1192,0,3,97,343,3562,1400000US06037108102,"Census Tract 1081.02, Los Angeles County, California",108102,Porter Ranch,"(34.280795, -118.55492)",34.280795,-118.55492
108103,44000,Los Angeles city - Porter Ranch,2,1643,1711,1849,57,0,1048,2,6,95,297,3354,1400000US06037108103,"Census Tract 1081.03, Los Angeles County, California",108103,Porter Ranch,"(34.2860705, -118.542893)",34.2860705,-118.54289299999999
108104,44000,Los Angeles city - Porter Ranch,2,831,877,1053,47,1,374,0,0,59,174,1708,1400000US06037108104,"Census Tract 1081.04, Los Angeles County, California",108104,Porter Ranch,"(34.2939525, -118.5470515)",34.2939525,-118.5470515
108201,44000,Los Angeles city - Porter Ranch,2,2921,3186,2418,118,2,2900,0,24,221,424,6107,1400000US06037108201,"Census Tract 1082.01, Los Angeles County, California",108201,Porter Ranch,"(34.2857885, -118.562083)",34.2857885,-118.562083
108202,44000,Los Angeles city - Porter Ranch,2,2661,2841,2078,219,9,2408,6,17,192,573,5502,1400000US06037108202,"Census Tract 1082.02, Los Angeles County, California",108202,Chatsworth,"(34.288396, -118.581814)",34.288396,-118.581814
109100,44000,Los Angeles city - Mission Hills,2,1169,1337,613,76,6,239,7,4,22,1539,2506,1400000US06037109100,"Census Tract 1091, Los Angeles County, California",109100,Mission Hills,"(34.278731, -118.4610295)",34.278731,-118.4610295
109200,44000,Los Angeles city - Granada Hills,2,1348,1436,996,103,4,515,1,5,82,1078,2784,1400000US06037109200,"Census Tract 1092, Los Angeles County, California",109200,Granada Hills,"(34.2786785, -118.474608)",34.2786785,-118.474608
109300,44000,Los Angeles city - Granada Hills,2,1610,1592,987,131,6,524,1,1,94,1458,3202,1400000US06037109300,"Census Tract 1093, Los Angeles County, California",109300,Granada Hills,"(34.272521, -118.479515)",34.272521000000005,-118.47951499999999
109400,44000,Los Angeles city - Mission Hills,2,1932,1990,516,100,18,229,12,17,58,2972,3922,1400000US06037109400,"Census Tract 1094, Los Angeles County, California",109400,Mission Hills,"(34.269881, -118.4552825)",34.269881,-118.4552825
109500,44000,Los Angeles city - Mission Hills,2,2341,2370,128,51,6,108,0,7,35,4376,4711,1400000US06037109500,"Census Tract 1095, Los Angeles County, California",109500,San Fernando,"(34.274036, -118.4444575)",34.274035999999995,-118.4444575
109601,44000,Los Angeles city - Mission Hills,2,2695,2686,739,148,7,526,6,15,84,3856,5381,1400000US06037109601,"Census Tract 1096.01, Los Angeles County, California",109601,Mission Hills,"(34.2582765, -118.450367)",34.2582765,-118.45036699999999
109603,44000,Los Angeles city - Mission Hills,2,2251,2248,733,209,15,466,0,12,67,2997,4499,1400000US06037109603,"Census Tract 1096.03, Los Angeles County, California",109603,Mission Hills,"(34.2536515, -118.465415)",34.253651500000004,-118.465415
109604,44000,Los Angeles city - Mission Hills,2,1544,1562,695,129,3,297,2,15,50,1915,3106,1400000US06037109604,"Census Tract 1096.04, Los Angeles County, California",109604,Mission Hills,"(34.2615535, -118.465347)",34.2615535,-118.465347
109700,44000,Los Angeles city - Granada Hills,2,2308,2389,1565,134,16,806,6,9,128,2033,4697,1400000US06037109700,"Census Tract 1097, Los Angeles County, California",109700,Granada Hills,"(34.263394, -118.4810215)",34.263394,-118.48102150000001
109800,44000,Los Angeles city - North Hills,2,2337,2380,1454,154,21,692,1,20,104,2271,4717,1400000US06037109800,"Census Tract 1098, Los Angeles County, California",109800,North Hills,"(34.2537535, -118.481817)",34.253753499999995,-118.48181699999999
